total_days,start_date,end_date,overall_return,volatility,up_wave_count,down_wave_count,up_wave_avg_days,down_wave_avg_days,up_wave_avg_pct,down_wave_avg_pct,momentum,trend_state,consecutive_days_vs_ma,avg_volume,volume_trend,code
420,2024-08-15,2026-05-29,0.8104575163398692,0.03569154192068305,1,2,5.0,9.0,-0.021970705725699074,0.027215061879338146,0.07809368128125786,above,31,38596701.0547619,22.207917814816376,688126
420,2024-08-29,2026-05-29,0.45350318471337586,0.035280750026616646,4,4,89.75,7.5,-0.03182297894120585,0.03697719737723314,-0.017565007749268176,mixed,1,17582540.207142856,1.122480182656331,688609
420,2024-08-16,2026-05-29,1.0261366730193304,0.0383123835344158,0,1,0.0,26.0,0.0,0.15403560622053328,-0.2895779064647504,mixed,1,11545047.504761904,4.745395755324909,688012
420,2024-08-29,2026-05-29,0.5111111111111113,0.03091707424860695,2,3,53.5,11.0,-0.054578401688228306,0.0500210533797437,-0.17998859284608482,below,14,13047341.376190476,16.45350438619591,688106
420,2024-08-29,2026-05-29,0.0639344262295081,0.03643352188609585,4,5,38.0,1.2,-0.03799396328931137,0.04174852405112182,-0.08988921609872397,below,12,14937128.283333333,3.651571852855622,688303
420,2024-08-29,2026-05-29,3.0545073375262057,0.05030596191962176,1,1,1.0,13.0,-0.03444782168186422,0.02938090241343139,-0.16576801966958546,below,8,33340635.623809524,5.025266788808215,688158
420,2024-08-29,2026-05-29,0.9576719576719575,0.03943883755953541,0,1,0.0,5.0,0.0,0.027950310559006167,-0.012806830309498477,mixed,1,6301183.459523809,25.097310516804,688584
420,2024-08-29,2026-05-29,0.9514731369150782,0.032737222678755756,2,2,2.0,6.5,-0.02903947285709184,0.04404315356830167,0.016237844179872448,above,5,14657848.638095237,3.857757944405266,688122
420,2024-08-29,2026-05-29,4.7535468179975675,0.050146537742465074,1,2,4.0,9.5,-0.07711895234630765,0.16638285684790272,0.01730872603476074,above,6,17421851.566666666,3.708953628124126,688629
420,2024-08-29,2026-05-29,1.1476846057571963,0.030355117846653505,1,2,3.0,5.5,-0.037251447269066124,0.044523608004352754,0.030661581428871675,above,29,17208934.71904762,1.9858461687338078,688777
420,2024-08-16,2026-05-29,16.897689768976896,0.054476443388294306,0,1,0.0,25.0,0.0,0.037585421412300694,-0.033416609977155926,mixed,3,30100615.75,3.277859656411655,688313
420,2024-08-29,2026-05-29,-0.1687943262411347,0.03458904045560376,4,4,16.75,73.75,-0.04589652815909317,0.08737826695047868,-0.12706688514821995,below,11,112245009.22380953,6.364983571465664,688223
420,2024-08-29,2026-05-29,0.2737523491334308,0.02632326750822641,10,11,9.6,28.818181818181817,-0.032079654052587336,0.05392192352224692,0.11611226991620018,above,6,6464211.311904762,3.818572093385452,688187
420,2024-08-21,2026-05-29,1.928212641272499,0.036412084737660444,1,2,1.0,11.5,-0.03026533996683252,0.05257339303486613,0.08581938968739324,above,33,61199853.82619048,9.78700507879299,688981
420,2024-08-29,2026-05-29,2.1585127201565557,0.03843024333485374,1,2,132.0,2.0,-0.04687500000000004,0.035565573770491854,-0.1735791090629799,below,9,54041809.12142857,8.122032357512547,688387
